"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires (NAF rév. 2, niveau groupe, poste 10.7)";"Codes"
"idBank";"010767642";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"96.65";"A"
"2025-01";"104.82";"A"
"2024-12";"99.8";"A"
"2024-11";"101.7";"A"
"2024-10";"112.19";"A"
"2024-09";"104.08";"A"
"2024-08";"97.15";"A"
"2024-07";"109.84";"A"
"2024-06";"103.63";"A"
"2024-05";"102.48";"A"
"2024-04";"103.39";"A"
"2024-03";"105.53";"A"
"2024-02";"99.05";"A"
"2024-01";"101.9";"A"
"2023-12";"97.92";"A"
"2023-11";"106.53";"A"
"2023-10";"109.1";"A"
"2023-09";"102.13";"A"
"2023-08";"103.39";"A"
"2023-07";"98.85";"A"
"2023-06";"105.93";"A"
"2023-05";"101.9";"A"
"2023-04";"97.44";"A"
"2023-03";"111.37";"A"
"2023-02";"96.33";"A"
"2023-01";"101.39";"A"
"2022-12";"100.3";"A"
"2022-11";"103.98";"A"
"2022-10";"105.74";"A"
"2022-09";"104.39";"A"
"2022-08";"100.19";"A"
"2022-07";"97.51";"A"
"2022-06";"105.74";"A"
"2022-05";"101.41";"A"
"2022-04";"99.37";"A"
"2022-03";"109.72";"A"
"2022-02";"95.3";"A"
"2022-01";"97.72";"A"
"2021-12";"105.49";"A"
"2021-11";"103.84";"A"
"2021-10";"105.24";"A"
"2021-09";"103.87";"A"
"2021-08";"100.17";"A"
"2021-07";"101.15";"A"
"2021-06";"104.05";"A"
"2021-05";"98.16";"A"
"2021-04";"97.03";"A"
"2021-03";"101.78";"A"
"2021-02";"86.85";"A"
"2021-01";"92.36";"A"
"2020-12";"91.84";"A"
"2020-11";"91.51";"A"
"2020-10";"99.25";"A"
"2020-09";"100.35";"A"
"2020-08";"93.87";"A"
"2020-07";"94.36";"A"
"2020-06";"88.65";"A"
"2020-05";"78.29";"A"
"2020-04";"82.25";"A"
"2020-03";"98.52";"A"
"2020-02";"91.33";"A"
"2020-01";"97.34";"A"
"2019-12";"96.86";"A"
"2019-11";"97.29";"A"
"2019-10";"109.09";"A"
"2019-09";"100.99";"A"
"2019-08";"96.44";"A"
"2019-07";"100.71";"A"
"2019-06";"92.9";"A"
"2019-05";"100.25";"A"
"2019-04";"100.12";"A"
"2019-03";"98.5";"A"
"2019-02";"90.63";"A"
"2019-01";"97.47";"A"
"2018-12";"92.72";"A"
"2018-11";"99.65";"A"
"2018-10";"108.4";"A"
"2018-09";"97.27";"A"
"2018-08";"101.2";"A"
"2018-07";"98.74";"A"
"2018-06";"96.54";"A"
"2018-05";"98.02";"A"
"2018-04";"97.05";"A"
"2018-03";"103.08";"A"
"2018-02";"88.78";"A"
"2018-01";"95.38";"A"
"2017-12";"93.88";"A"
"2017-11";"99.77";"A"
"2017-10";"103.17";"A"
"2017-09";"101.02";"A"
"2017-08";"102.78";"A"
