"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Industries alimentaires (NAF rév. 2, niveau division, poste 10)";"Codes"
"idBank";"010767601";""
"Dernière mise à jour";"04/04/2025 08:45";""
"Période";"";""
"2025-02";"93.6";"A"
"2025-01";"100.98";"A"
"2024-12";"95.79";"A"
"2024-11";"96.38";"A"
"2024-10";"111.84";"A"
"2024-09";"101.51";"A"
"2024-08";"96.14";"A"
"2024-07";"103.72";"A"
"2024-06";"95.92";"A"
"2024-05";"95.92";"A"
"2024-04";"97.19";"A"
"2024-03";"98.84";"A"
"2024-02";"96.91";"A"
"2024-01";"100.43";"A"
"2023-12";"93.2";"A"
"2023-11";"101.33";"A"
"2023-10";"105.99";"A"
"2023-09";"99.08";"A"
"2023-08";"98.33";"A"
"2023-07";"94.29";"A"
"2023-06";"100.27";"A"
"2023-05";"96.66";"A"
"2023-04";"91.78";"A"
"2023-03";"104.37";"A"
"2023-02";"92.09";"A"
"2023-01";"98.79";"A"
"2022-12";"96.95";"A"
"2022-11";"103.14";"A"
"2022-10";"103.91";"A"
"2022-09";"104.72";"A"
"2022-08";"98.75";"A"
"2022-07";"93.67";"A"
"2022-06";"99.16";"A"
"2022-05";"97.01";"A"
"2022-04";"93.09";"A"
"2022-03";"105.87";"A"
"2022-02";"94.07";"A"
"2022-01";"99.02";"A"
"2021-12";"102.65";"A"
"2021-11";"103.97";"A"
"2021-10";"106.76";"A"
"2021-09";"107.24";"A"
"2021-08";"99.0";"A"
"2021-07";"97.54";"A"
"2021-06";"101.09";"A"
"2021-05";"93.35";"A"
"2021-04";"96.52";"A"
"2021-03";"104.75";"A"
"2021-02";"91.36";"A"
"2021-01";"95.77";"A"
"2020-12";"98.74";"A"
"2020-11";"99.53";"A"
"2020-10";"107.08";"A"
"2020-09";"107.77";"A"
"2020-08";"94.22";"A"
"2020-07";"98.18";"A"
"2020-06";"97.84";"A"
"2020-05";"89.11";"A"
"2020-04";"94.65";"A"
"2020-03";"101.3";"A"
"2020-02";"94.49";"A"
"2020-01";"100.41";"A"
"2019-12";"96.77";"A"
"2019-11";"99.05";"A"
"2019-10";"111.89";"A"
"2019-09";"103.99";"A"
"2019-08";"94.34";"A"
"2019-07";"99.36";"A"
"2019-06";"93.15";"A"
"2019-05";"97.37";"A"
"2019-04";"99.08";"A"
"2019-03";"98.58";"A"
"2019-02";"92.89";"A"
"2019-01";"101.75";"A"
"2018-12";"94.45";"A"
"2018-11";"101.88";"A"
"2018-10";"110.4";"A"
"2018-09";"100.96";"A"
"2018-08";"99.04";"A"
"2018-07";"97.42";"A"
"2018-06";"97.3";"A"
"2018-05";"96.15";"A"
"2018-04";"96.15";"A"
"2018-03";"103.07";"A"
"2018-02";"92.2";"A"
"2018-01";"100.54";"A"
"2017-12";"95.67";"A"
"2017-11";"102.79";"A"
"2017-10";"106.76";"A"
"2017-09";"104.63";"A"
"2017-08";"100.97";"A"
"2017-07";"92.6";"A"
"2017-06";"97.81";"A"
"2017-05";"98.98";"A"
"2017-04";"92.83";"A"
"2017-03";"104.59";"A"
"2017-02";"91.98";"A"
"2017-01";"98.35";"A"
"2016-12";"99.95";"A"
"2016-11";"100.12";"A"
"2016-10";"102.5";"A"
"2016-09";"105.84";"A"
"2016-08";"99.13";"A"
"2016-07";"91.91";"A"
"2016-06";"100.13";"A"
"2016-05";"97.34";"A"
"2016-04";"97.72";"A"
"2016-03";"103.98";"A"
"2016-02";"94.92";"A"
"2016-01";"95.65";"A"
"2015-12";"100.77";"A"
"2015-11";"98.62";"A"
"2015-10";"108.69";"A"
"2015-09";"108.15";"A"
"2015-08";"95.96";"A"
"2015-07";"98.64";"A"
"2015-06";"101.69";"A"
"2015-05";"90.63";"A"
"2015-04";"99.3";"A"
"2015-03";"101.38";"A"
"2015-02";"91.6";"A"
"2015-01";"95.95";"A"
"2014-12";"99.23";"A"
"2014-11";"93.75";"A"
"2014-10";"109.68";"A"
"2014-09";"106.76";"A"
"2014-08";"91.64";"A"
"2014-07";"99.15";"A"
"2014-06";"95.51";"A"
"2014-05";"93.8";"A"
"2014-04";"101.17";"A"
"2014-03";"97.13";"A"
"2014-02";"94.05";"A"
"2014-01";"99.33";"A"
"2013-12";"97.27";"A"
"2013-11";"97.61";"A"
"2013-10";"110.49";"A"
"2013-09";"101.16";"A"
"2013-08";"92.65";"A"
"2013-07";"98.55";"A"
"2013-06";"92.49";"A"
"2013-05";"97.08";"A"
"2013-04";"99.6";"A"
"2013-03";"99.65";"A"
"2013-02";"94.06";"A"
"2013-01";"100.1";"A"
"2012-12";"94.7";"A"
"2012-11";"101.68";"A"
"2012-10";"112.56";"A"
"2012-09";"101.15";"A"
"2012-08";"96.81";"A"
"2012-07";"97.99";"A"
"2012-06";"100.48";"A"
"2012-05";"97.53";"A"
"2012-04";"97.64";"A"
"2012-03";"103.43";"A"
"2012-02";"97.48";"A"
"2012-01";"99.2";"A"
"2011-12";"98.94";"A"
"2011-11";"100.87";"A"
"2011-10";"105.12";"A"
"2011-09";"107.29";"A"
"2011-08";"98.07";"A"
"2011-07";"96.23";"A"
"2011-06";"100.52";"A"
"2011-05";"102.33";"A"
"2011-04";"96.9";"A"
"2011-03";"108.11";"A"
"2011-02";"94.49";"A"
"2011-01";"97.55";"A"
"2010-12";"98.94";"A"
"2010-11";"97.77";"A"
"2010-10";"103.6";"A"
"2010-09";"105.46";"A"
"2010-08";"93.26";"A"
"2010-07";"95.34";"A"
"2010-06";"100.49";"A"
"2010-05";"93.71";"A"
"2010-04";"95.67";"A"
"2010-03";"102.98";"A"
"2010-02";"91.28";"A"
"2010-01";"92.97";"A"
"2009-12";"96.72";"A"
