"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Extraction d'hydrocarbures (NAF rév. 2, niveau division, poste 06)";"Codes"
"idBank";"010767574";""
"Dernière mise à jour";"05/03/2025 08:45";""
"Période";"";""
"2025-01";"76.77";"A"
"2024-12";"83.23";"A"
"2024-11";"80.57";"A"
"2024-10";"82.73";"A"
"2024-09";"81.84";"A"
"2024-08";"84.38";"A"
"2024-07";"85.44";"A"
"2024-06";"84.53";"A"
"2024-05";"86.78";"A"
"2024-04";"83.69";"A"
"2024-03";"89.11";"A"
"2024-02";"79.96";"A"
"2024-01";"87.53";"A"
"2023-12";"90.78";"A"
"2023-11";"87.39";"A"
"2023-10";"89.86";"A"
"2023-09";"88.89";"A"
"2023-08";"93.78";"A"
"2023-07";"90.62";"A"
"2023-06";"88.44";"A"
"2023-05";"97.42";"A"
"2023-04";"90.61";"A"
"2023-03";"87.68";"A"
"2023-02";"83.08";"A"
"2023-01";"92.6";"A"
"2022-12";"91.95";"A"
"2022-11";"88.14";"A"
"2022-10";"88.57";"A"
"2022-09";"84.22";"A"
"2022-08";"86.53";"A"
"2022-07";"89.57";"A"
"2022-06";"93.55";"A"
"2022-05";"98.03";"A"
"2022-04";"95.67";"A"
"2022-03";"101.96";"A"
"2022-02";"90.81";"A"
"2022-01";"100.1";"A"
"2021-12";"99.41";"A"
"2021-11";"96.45";"A"
"2021-10";"81.76";"A"
"2021-09";"97.4";"A"
"2021-08";"104.1";"A"
"2021-07";"102.31";"A"
"2021-06";"101.99";"A"
"2021-05";"105.68";"A"
"2021-04";"101.11";"A"
"2021-03";"105.5";"A"
"2021-02";"96.47";"A"
"2021-01";"107.81";"A"
"2020-12";"105.63";"A"
"2020-11";"103.94";"A"
"2020-10";"110.35";"A"
"2020-09";"105.74";"A"
"2020-08";"109.03";"A"
"2020-07";"105.07";"A"
"2020-06";"95.02";"A"
"2020-05";"64.78";"A"
"2020-04";"72.47";"A"
"2020-03";"111.16";"A"
"2020-02";"108.75";"A"
"2020-01";"112.83";"A"
