"Libellé";"Indice brut de la production industrielle (base 100 en 2021) - Construction aéronautique et spatiale (NAF rév. 2, niveau groupe, poste 30.3)";"Codes"
"idBank";"010768165";""
"Dernière mise à jour";"05/03/2025 08:45";""
"Période";"";""
"2025-01";"107.87";"A"
"2024-12";"133.27";"A"
"2024-11";"126.43";"A"
"2024-10";"132.24";"A"
"2024-09";"130.07";"A"
"2024-08";"91.42";"A"
"2024-07";"105.99";"A"
"2024-06";"134.2";"A"
"2024-05";"106.51";"A"
"2024-04";"116.5";"A"
"2024-03";"126.95";"A"
"2024-02";"111.1";"A"
"2024-01";"116.48";"A"
"2023-12";"134.2";"A"
"2023-11";"137.69";"A"
"2023-10";"126.98";"A"
"2023-09";"127.72";"A"
"2023-08";"103.93";"A"
"2023-07";"92.35";"A"
"2023-06";"138.98";"A"
"2023-05";"109.35";"A"
"2023-04";"113.82";"A"
"2023-03";"129.35";"A"
"2023-02";"111.75";"A"
"2023-01";"100.21";"A"
"2022-12";"129.67";"A"
"2022-11";"109.16";"A"
"2022-10";"109.64";"A"
"2022-09";"114.98";"A"
"2022-08";"80.99";"A"
"2022-07";"91.09";"A"
"2022-06";"121.17";"A"
"2022-05";"94.01";"A"
"2022-04";"101.43";"A"
"2022-03";"114.82";"A"
"2022-02";"95.69";"A"
"2022-01";"90.89";"A"
"2021-12";"111.57";"A"
"2021-11";"105.19";"A"
"2021-10";"118.42";"A"
"2021-09";"102.9";"A"
"2021-08";"79.04";"A"
"2021-07";"101.0";"A"
"2021-06";"112.43";"A"
"2021-05";"88.51";"A"
"2021-04";"93.5";"A"
"2021-03";"110.36";"A"
"2021-02";"82.44";"A"
"2021-01";"94.64";"A"
"2020-12";"104.95";"A"
"2020-11";"121.62";"A"
"2020-10";"107.31";"A"
"2020-09";"121.46";"A"
"2020-08";"62.8";"A"
"2020-07";"90.28";"A"
"2020-06";"109.22";"A"
"2020-05";"75.96";"A"
"2020-04";"83.43";"A"
"2020-03";"128.69";"A"
"2020-02";"148.08";"A"
"2020-01";"148.84";"A"
"2019-12";"144.2";"A"
"2019-11";"177.91";"A"
"2019-10";"174.2";"A"
"2019-09";"175.14";"A"
"2019-08";"121.06";"A"
"2019-07";"151.67";"A"
"2019-06";"154.26";"A"
"2019-05";"157.93";"A"
"2019-04";"153.99";"A"
"2019-03";"173.52";"A"
"2019-02";"156.94";"A"
"2019-01";"156.11";"A"
"2018-12";"155.97";"A"
"2018-11";"189.64";"A"
"2018-10";"175.66";"A"
"2018-09";"165.63";"A"
"2018-08";"127.18";"A"
"2018-07";"153.61";"A"
"2018-06";"178.71";"A"
"2018-05";"153.8";"A"
"2018-04";"159.03";"A"
"2018-03";"158.58";"A"
"2018-02";"143.84";"A"
"2018-01";"158.36";"A"
"2017-12";"135.67";"A"
"2017-11";"185.52";"A"
"2017-10";"165.83";"A"
"2017-09";"166.64";"A"
"2017-08";"130.39";"A"
"2017-07";"123.44";"A"
"2017-06";"166.8";"A"
"2017-05";"158.34";"A"
"2017-04";"140.85";"A"
"2017-03";"185.52";"A"
"2017-02";"142.84";"A"
"2017-01";"151.01";"A"
"2016-12";"137.89";"A"
"2016-11";"158.6";"A"
"2016-10";"162.56";"A"
"2016-09";"163.14";"A"
"2016-08";"107.46";"A"
"2016-07";"119.92";"A"
"2016-06";"173.7";"A"
"2016-05";"145.15";"A"
"2016-04";"160.29";"A"
"2016-03";"164.98";"A"
"2016-02";"152.06";"A"
"2016-01";"143.79";"A"
"2015-12";"132.5";"A"
"2015-11";"143.69";"A"
"2015-10";"157.61";"A"
"2015-09";"168.87";"A"
"2015-08";"101.2";"A"
"2015-07";"123.0";"A"
"2015-06";"167.03";"A"
"2015-05";"125.08";"A"
"2015-04";"135.86";"A"
"2015-03";"166.35";"A"
"2015-02";"153.62";"A"
"2015-01";"138.98";"A"
"2014-12";"148.03";"A"
"2014-11";"139.83";"A"
"2014-10";"172.03";"A"
"2014-09";"160.0";"A"
"2014-08";"98.2";"A"
"2014-07";"140.75";"A"
"2014-06";"166.76";"A"
"2014-05";"131.34";"A"
"2014-04";"150.63";"A"
"2014-03";"161.24";"A"
"2014-02";"147.52";"A"
"2014-01";"141.39";"A"
"2013-12";"131.27";"A"
"2013-11";"164.69";"A"
"2013-10";"172.68";"A"
"2013-09";"162.17";"A"
"2013-08";"114.99";"A"
"2013-07";"136.93";"A"
"2013-06";"168.74";"A"
"2013-05";"139.5";"A"
"2013-04";"151.32";"A"
"2013-03";"147.2";"A"
"2013-02";"145.47";"A"
"2013-01";"125.34";"A"
"2012-12";"124.89";"A"
"2012-11";"153.14";"A"
"2012-10";"145.76";"A"
"2012-09";"130.28";"A"
"2012-08";"105.15";"A"
"2012-07";"109.47";"A"
"2012-06";"138.48";"A"
"2012-05";"116.09";"A"
"2012-04";"122.63";"A"
"2012-03";"152.13";"A"
"2012-02";"122.94";"A"
"2012-01";"123.72";"A"
"2011-12";"141.65";"A"
"2011-11";"131.62";"A"
"2011-10";"141.44";"A"
"2011-09";"142.56";"A"
"2011-08";"88.81";"A"
"2011-07";"101.85";"A"
"2011-06";"123.87";"A"
"2011-05";"125.89";"A"
"2011-04";"117.78";"A"
"2011-03";"129.95";"A"
"2011-02";"120.71";"A"
"2011-01";"110.46";"A"
"2010-12";"121.1";"A"
"2010-11";"109.36";"A"
"2010-10";"123.58";"A"
"2010-09";"128.02";"A"
"2010-08";"87.47";"A"
"2010-07";"95.73";"A"
"2010-06";"137.01";"A"
"2010-05";"113.06";"A"
"2010-04";"130.55";"A"
"2010-03";"121.83";"A"
"2010-02";"109.01";"A"
"2010-01";"119.54";"A"
"2009-12";"108.9";"A"
"2009-11";"127.87";"A"
"2009-10";"140.81";"A"
"2009-09";"127.1";"A"
"2009-08";"88.82";"A"
"2009-07";"100.06";"A"
"2009-06";"135.73";"A"
"2009-05";"100.93";"A"
"2009-04";"99.71";"A"
"2009-03";"125.91";"A"
"2009-02";"105.9";"A"
"2009-01";"108.68";"A"
"2008-12";"135.04";"A"
"2008-11";"114.65";"A"
"2008-10";"139.34";"A"
"2008-09";"123.96";"A"
"2008-08";"94.74";"A"
"2008-07";"111.92";"A"
"2008-06";"122.8";"A"
"2008-05";"105.49";"A"
"2008-04";"122.34";"A"
"2008-03";"120.07";"A"
"2008-02";"121.52";"A"
"2008-01";"100.07";"A"
"2007-12";"109.38";"A"
"2007-11";"116.35";"A"
"2007-10";"127.12";"A"
"2007-09";"108.25";"A"
"2007-08";"99.3";"A"
"2007-07";"115.54";"A"
"2007-06";"134.88";"A"
"2007-05";"113.64";"A"
"2007-04";"100.3";"A"
"2007-03";"123.01";"A"
"2007-02";"111.64";"A"
"2007-01";"108.89";"A"
"2006-12";"97.34";"A"
"2006-11";"109.32";"A"
"2006-10";"127.62";"A"
"2006-09";"128.57";"A"
"2006-08";"81.77";"A"
"2006-07";"100.08";"A"
"2006-06";"122.0";"A"
"2006-05";"120.65";"A"
"2006-04";"102.48";"A"
"2006-03";"125.86";"A"
"2006-02";"107.8";"A"
"2006-01";"104.33";"A"
"2005-12";"96.94";"A"
"2005-11";"114.26";"A"
"2005-10";"108.38";"A"
"2005-09";"108.82";"A"
"2005-08";"84.64";"A"
"2005-07";"86.35";"A"
"2005-06";"111.32";"A"
"2005-05";"102.69";"A"
"2005-04";"95.44";"A"
"2005-03";"95.95";"A"
"2005-02";"92.31";"A"
"2005-01";"82.23";"A"
"2004-12";"88.89";"A"
"2004-11";"96.87";"A"
"2004-10";"100.89";"A"
"2004-09";"94.16";"A"
"2004-08";"69.4";"A"
"2004-07";"68.25";"A"
"2004-06";"101.27";"A"
"2004-05";"71.78";"A"
"2004-04";"84.43";"A"
"2004-03";"95.75";"A"
"2004-02";"79.84";"A"
"2004-01";"82.18";"A"
"2003-12";"81.46";"A"
"2003-11";"79.69";"A"
"2003-10";"97.38";"A"
"2003-09";"89.18";"A"
"2003-08";"60.44";"A"
"2003-07";"71.03";"A"
"2003-06";"79.33";"A"
"2003-05";"78.38";"A"
"2003-04";"91.33";"A"
"2003-03";"97.78";"A"
"2003-02";"78.75";"A"
"2003-01";"87.3";"A"
"2002-12";"65.63";"A"
"2002-11";"79.31";"A"
"2002-10";"88.04";"A"
"2002-09";"79.9";"A"
"2002-08";"76.62";"A"
"2002-07";"68.96";"A"
"2002-06";"91.46";"A"
"2002-05";"72.28";"A"
"2002-04";"95.81";"A"
"2002-03";"102.67";"A"
"2002-02";"98.84";"A"
"2002-01";"107.63";"A"
"2001-12";"77.43";"A"
"2001-11";"91.49";"A"
"2001-10";"107.05";"A"
"2001-09";"90.85";"A"
"2001-08";"86.95";"A"
"2001-07";"86.68";"A"
"2001-06";"98.78";"A"
"2001-05";"85.06";"A"
"2001-04";"83.7";"A"
